"Issue Area Tags
(pick ONE) ",Program,"Primary Output
(pick ONE)",Number of Awards
Privacy+Security,Discretionary Awards,Workshop or Convening,5
Privacy+Security,Fellow in Residence/ Senior Fellows,Art or Media,1
Privacy+Security,Fellow in Residence/ Senior Fellows,Curriculum or Educational Resource,1
Privacy+Security,Fellow in Residence/ Senior Fellows,Public Resource,4
Privacy+Security,MOSS,Capacity Building,1
Privacy+Security,MOSS,General Operating Support,37
Privacy+Security,MOSS,Software,12
Privacy+Security,Open Science Fellows,Art or Media,1
Privacy+Security,Open Science Fellows,Other/not available,1
Privacy+Security,Open Science Fellows,Public Resource,2
Privacy+Security,Open Science Fellows,Software,1
Privacy+Security,Open Science Fellows,Workshop or Convening,2
Privacy+Security,Open Web Fellows,Curriculum or Educational Resource,1
Privacy+Security,Open Web Fellows,Policy recommendations,3
Privacy+Security,Open Web Fellows,Public Resource,5
Privacy+Security,Open Web Fellows,Research,5
Privacy+Security,Open Web Fellows,Software,4
Privacy+Security,Other Programs,Capacity Building,1
Privacy+Security,Other Programs,Other/not available,1
Privacy+Security,Other Programs,Software,3
Privacy+Security,Other Programs,Workshop or Convening,1
Privacy+Security,Tech + Society Fellows,Curriculum or Educational Resource,1
Privacy+Security,Tech + Society Fellows,Public Resource,2
Privacy+Security,Tech Policy Fellows,Other/not available,1
Privacy+Security,Tech Policy Fellows,Policy recommendations,1
Privacy+Security,Tech Policy Fellows,Public Resource,4
Trustworthy AI,Creative Media Awards,Art or Media,9
Trustworthy AI,Discretionary Awards,Public Resource,1
Trustworthy AI,Fellow in Residence/ Senior Fellows,Other/not available,2
Trustworthy AI,Fellow in Residence/ Senior Fellows,Public Resource,1
Trustworthy AI,Fellow in Residence/ Senior Fellows,Research,4
Trustworthy AI,Mozilla Science Mini Grants,Curriculum or Educational Resource,1
Web Literacy,Advocacy Network Fund,Workshop or Convening,2
Web Literacy,Creative Media Awards,Art or Media,14
Web Literacy,Discretionary Awards,Art or Media,1
Web Literacy,Discretionary Awards,Curriculum or Educational Resource,3
Web Literacy,Discretionary Awards,Software,1
Web Literacy,Discretionary Awards,Workshop or Convening,1
Web Literacy,Fellow in Residence/ Senior Fellows,Art or Media,1
Web Literacy,Fellow in Residence/ Senior Fellows,Curriculum or Educational Resource,3
Web Literacy,Fellow in Residence/ Senior Fellows,Public Resource,1
Web Literacy,Fellow in Residence/ Senior Fellows,Research,1
Web Literacy,Gigabit Community Fund,Curriculum or Educational Resource,32
Web Literacy,Gigabit Community Fund,Public Resource,1
Web Literacy,Gigabit Community Fund,Research,1
Web Literacy,Gigabit Community Fund,Software,4
Web Literacy,Hive,Capacity Building,4
Web Literacy,Hive,Curriculum or Educational Resource,11
Web Literacy,Hive,Workshop or Convening,13
Web Literacy,Open Web Fellows,Public Resource,2
Web Literacy,Other Programs,Curriculum or Educational Resource,6
Web Literacy,Other Programs,Public Resource,1
Web Literacy,Other Programs,Workshop or Convening,3
Web Literacy,Tech + Society Fellows,Public Resource,2
Web Literacy,Tech Policy Fellows,Policy recommendations,1
Web Literacy,Tech Policy Fellows,Public Resource,1
